active_through,candidate_id,candidate_inactive,candidate_status,cycles,district,district_number,election_districts,election_years,federal_funds_flag,first_file_date,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,last_file_date,load_date,name,office,office_full,party,party_full,state
2026,S6IL00391,False,C,"[2024, 2026]",00,0.0,['00'],[2026],False,2023-11-09,True,,O,Open seat,2023-11-09,2023-11-09,2025-04-25T21:00:17,"BENNETT, DOUGLAS",S,Senate,REP,REPUBLICAN PARTY,IL
2026,S6IA00199,False,N,"[2024, 2026]",00,0.0,['00'],[2026],False,2024-08-25,False,,O,Open seat,2024-08-25,2024-08-25,2025-09-03T21:03:11,"BERMAN, JOHN",S,Senate,REP,REPUBLICAN PARTY,IA
2026,S6FL00889,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-31,False,,C,Challenger,2026-03-31,2026-04-16,2026-04-10T21:13:55,"BETTIS, SHAWN STEFAN",S,Senate,DEM,DEMOCRATIC PARTY,FL
2026,S6OH00312,False,N,[2026],00,0.0,['00'],[2026],False,2025-01-22,False,,C,Challenger,2025-01-22,2025-02-19,2025-02-07T21:00:11,"BIBLER, BRIAN CHRISTOPHER MR",S,Senate,REP,REPUBLICAN PARTY,OH
2026,S0TX00365,False,C,"[2020, 2026]",00,0.0,"['00', '00']","[2020, 2026]",False,2019-11-24,True,,C,Challenger,2025-06-19,2025-06-19,2025-07-16T21:02:06,"BIERSCHWALE, VIRGIL",S,Senate,REP,REPUBLICAN PARTY,TX
2026,S6MT00246,False,C,[2026],00,0.0,['00'],[2026],False,2025-09-11,True,,O,Open seat,2025-09-11,2025-09-11,2026-03-06T21:23:49,"BLACKWOLF, MICHAEL JAMES MR.",S,Senate,DEM,DEMOCRATIC PARTY,MT
2026,S6DE00164,False,N,[2026],00,0.0,['00'],[2026],False,2026-01-05,False,,C,Challenger,2026-01-05,2026-01-05,2026-01-13T21:02:51,"BLAND, DEXTER",S,Senate,IND,INDEPENDENT,DE
2026,S6MT00287,False,C,[2026],00,0.0,['00'],[2026],False,2026-03-04,True,,O,Open seat,2026-03-04,2026-03-04,2026-04-18T21:13:41,"BODNAR, SETH",S,Senate,IND,INDEPENDENT,MT
2026,S6ID00179,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-24,False,,C,Challenger,2026-03-24,2026-03-24,2026-03-29T21:12:30,"BONDS, NICKOLAS",S,Senate,DEM,DEMOCRATIC PARTY,ID
2026,S6KY00385,False,C,[2026],00,0.0,['00'],[2026],False,2025-12-03,True,,O,Open seat,2025-12-03,2025-12-03,2026-02-09T20:58:28,"BOOKER, CHARLES",S,Senate,DEM,DEMOCRATIC PARTY,KY
2026,S4NJ00185,False,C,"[2014, 2016, 2018, 2020, 2022, 2024, 2026]",00,0.0,"['00', '00', '00']","[2014, 2020, 2026]",False,2013-05-13,True,,I,Incumbent,2025-07-29,2025-07-29,2025-07-29T21:02:15,"BOOKER, CORY A.",S,Senate,DEM,DEMOCRATIC PARTY,NJ
2026,S6IL00656,False,C,[2026],,,[None],[2026],False,2025-09-10,True,,O,Open seat,2025-09-10,2025-09-10,2026-01-29T21:02:11,"BOTSFORD, STEVE",S,Senate,DEM,DEMOCRATIC PARTY,IL
2026,S6GA00267,False,C,"[2022, 2024, 2026]",00,0.0,['00'],[2026],False,2022-06-22,True,,C,Challenger,2024-02-21,2024-02-21,2025-01-10T21:01:11,"BOX, REAGAN",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S0NC00335,False,N,"[2020, 2022, 2024, 2026]",,,"['00', '00', '00']","[2020, 2022, 2026]",False,2019-07-16,False,,,,2025-12-15,2026-01-23,2026-03-10T21:23:39,"BRAY, SHANNON",S,Senate,LIB,LIBERTARIAN PARTY,NC
2026,S6SC04338,False,N,[2026],00,0.0,['00'],[2026],False,2025-12-02,False,,C,Challenger,2026-03-14,2026-03-14,2026-03-16T21:15:59,"BRENKUS, JASON ELLIOT",S,Senate,LIB,LIBERTARIAN PARTY,SC
2026,S6PA00357,False,N,[2026],00,0.0,['00'],[2026],False,2025-06-12,False,,C,Challenger,2025-06-12,2025-06-12,2025-06-30T20:58:43,"BRENNER, GARY DAVID MR JR",S,Senate,DEM,DEMOCRATIC PARTY,PA
2026,S6CO00408,False,C,[2026],00,0.0,['00'],[2026],False,2025-02-07,True,,C,Challenger,2025-02-07,2025-02-07,2025-07-16T21:02:06,"BRESLIN, KAREN",S,Senate,DEM,DEMOCRATIC PARTY,CO
2026,S6TN00380,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-05,False,,C,Challenger,2026-03-05,2026-03-05,2026-03-06T21:23:49,"BREWER, MARIA A",S,Senate,DEM,DEMOCRATIC PARTY,TN
2026,S6OH00411,False,N,[2026],00,0.0,['00'],[2026],False,2025-11-19,False,,C,Challenger,2025-11-19,2025-11-19,2025-12-30T21:00:52,"BREWER, M SUSANNA MRS.",S,Senate,REP,REPUBLICAN PARTY,OH
2026,S6GA00465,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-31,False,,C,Challenger,2026-03-31,2026-03-31,2026-04-10T21:13:55,"BRIGMAN, BRADLEY",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S6WA00461,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-02,False,,C,Challenger,2026-03-02,2026-03-12,2026-03-03T21:23:02,"BRISCO, DELBERT EUGENE MR",S,Senate,CON,CONSTITUTION PARTY,WA
