candidate_id,receipts,disbursements,cash_on_hand,individual_contributions,pac_contributions
S6IA00280,363563.01,363563.01,0.0,351417.86,4000.0
S6OH00387,5001938.61,4970194.22,31744.39,5000000.0,0.0
S4NE00207,3856314.95,2784328.54,1135152.33,3708127.42,78742.5
S8GA00180,60439612.91,32925743.34,32504436.28,53243293.44,835197.49
S6NH00141,9860676.34,6044770.26,4223490.31,8655891.06,951872.76
S6KS00239,19898.0,19707.85,190.15,14398.0,0.0
S6TX00388,7007950.84,4861414.33,2146536.51,6984396.4,22000.0
S6AK00276,8661662.38,2934553.61,5727108.77,7563867.88,449745.64
S4OR00156,9105.86,7895.25,1591.14,8146.47,0.0
S4MN00551,960.98,960.98,0.0,0.0,0.0
S4MI00355,201476.25,786015.06,6543790.66,18622.32,9500.0
S6WV00170,13776.25,13624.35,151.9,12814.04,0.0
S4MS00187,90225.35,95207.94,632.43,85885.53,0.0
S6ME00373,11956529.27,9225671.66,2730857.61,11851220.77,77550.0
S6CO00515,29537.18,12693.74,16843.44,29537.18,0.0
S6OK04197,203272.5,68438.0,134834.5,153272.5,0.0
S6OK04262,0.0,0.0,0.0,0.0,0.0
S6OH00429,17715.38,17071.85,643.53,3750.09,0.0
S6RI00163,2602598.5,761309.2,3429481.34,1637999.24,883300.0
S6VA00176,106324.12,106324.12,0.0,57248.43,0.0
S6ME00282,55499.8,47452.0,8047.8,4632.33,0.0
S6NE00129,4866649.16,4281083.75,1072534.52,1753452.32,1315602.65
S6MA00254,75700.42,72981.88,2718.54,51659.09,0.0
S8ID00092,2864280.24,1554864.9,3729779.9,1863665.69,746129.0
S6ME00365,242582.34,242582.34,0.0,29582.33,0.0
S6IL00631,236.0,148.48,0.0,106.0,0.0
S4MI00595,7623339.49,3670043.1,4208027.83,4476026.42,616977.09
S6KY00369,831756.07,600763.85,230992.22,598256.07,3500.0
S6ID00138,7494.66,8180.98,-91.55,3938.63,400.0
S4SD00049,2432353.99,1365508.33,2936874.73,1032859.41,1011300.0
S6ID00153,31157.64,23497.76,7659.88,10826.86,0.0
